consider that each user has a specific context.,در نظر بگیرید که هر کاربر یک زمینه خاص دارد.
some of the traffic may come from southern regions.,برخی از ترافیک ممکن است از مناطق جنوبی باشد.
they’d probably rather be exposed to lighter clothing than to winter-specific products.,آنها ترجیح می دهند در معرض لباس های سبک تری قرار بگیرند تا محصولات خاص زمستان.
we could distinguish customers based on their favorite brands.,ما می توانیم مشتریان را بر اساس مارک های مورد علاقه خود تشخیص دهیم.
doing so requires some extra tools as well.,انجام این کار به ابزارهای اضافی نیز نیاز دارد.
the image above illustrates the concept.,تصویر بالا مفهوم را نشان می دهد.
study of algorithms dates at least to euclid.,مطالعه الگوریتم های حداقل از اقلیدس.
for fun and profit.,برای سرگرمی و سود.
to solve problems that could not otherwise be addressed.,برای حل مشکلاتی که در غیر این صورت نمی توان رسیدگی کرد.
for intellectual stimulation.,برای تحریک فکری.
to become a proficient programmer.,برای تبدیل شدن به یک برنامه نویس تبحر
it does not offer a certificate upon completion.,پس از اتمام گواهی ارائه نمی دهد.
